"Gene_symbol"	"ACC_Log2FC"	"BLCA_Log2FC"	"BRCA_Log2FC"	"HNSC_Log2FC"	"KIRC_Log2FC"	"LAML_Log2FC"	"LGG_Log2FC"	"LIHC_Log2FC"	"LUAD_Log2FC"	"LUSC_Log2FC"	"PAAD_Log2FC"	"SKCM_Log2FC"	"THCA_Log2FC"
"PRSS3"	-0.737	0.046	-0.385	-2.508	-1.502	-0.245	-3.387	-0.872	0.104	0.656	-4.768	-5.913	-0.091
"PRSS36"	-0.578	0.005	0.03	-0.023	0.376	1.114	-0.235	0.121	-0.317	-0.275	1.19	-0.816	-0.259
"PRTFDC1"	-1.48	-0.678	-0.52	1.137	0.218	-2.672	1.554	0.843	0.843	1.121	2.183	-0.657	-0.83
"PRUNE2"	0.927	-3.736	-1.217	-1.317	1.733	2.184	0.332	-0.286	-1.191	-1.79	1.397	-1.045	-1.181
"PSAP"	-0.672	-0.167	0.377	0.708	-0.021	-1.071	1.106	0.819	0.03	-0.008	2.248	1.557	0.595
"PSD3"	-1	-0.042	0.59	-0.006	-0.534	1.22	-1.18	-0.495	0.347	0.527	0.807	-0.394	1.638
"PSD4"	-1.12	0.041	0.749	0.111	0.462	1.393	0.237	-0.616	0.14	-0.182	1.106	-2.201	-0.562
"PSENEN"	1.603	1.07	1.581	0.184	0.155	-0.335	1.35	1.196	1.197	0.886	2.248	1.458	0.874
"PSMA2"	0.588	0.831	0.626	0.779	0.257	-1.158	1.353	0.615	0.5	0.876	1.719	0.688	0.198
"PSMA3-AS1"	-0.844	-0.27	-0.698	0.278	-0.052	2.156	0.12	-0.556	-1.216	-1.447	0.348	-0.684	-1.394
"PSMA7"	0.514	0.767	0.412	0.794	0.019	-1.062	0.823	0.879	0.111	0.558	1.781	0.938	0.002
"PSMB10"	0.683	1.029	0.583	0.768	1.298	0.255	0.33	1.02	0.407	0.033	1.22	2.197	0.815
"PSMC1P1"	0.524	0.08	0.862	0.464	0.241	-0.412	1.585	1.154	0.961	1.409	2.368	1.079	0.96
"PSMC4"	0.558	0.657	0.803	0.556	-0.094	-1.158	0.795	1.116	0.572	1.011	2.188	0.744	0.105
"PSMD10"	0.76	0.299	0.854	0.635	0.35	-1.281	1.001	1.182	0.632	1.089	1.952	0.711	0.511
"PSMD5"	-0.628	-0.197	0.526	0.551	0.075	-1.463	0.69	0.152	0.219	0.3	0.916	-0.38	-0.187
"PSMD5-AS1"	-0.99	-0.373	-0.25	0.53	-0.182	-0.274	0.45	-0.091	-0.248	-0.553	-0.525	-0.258	-1.45
"PSMD6-AS2"	-0.538	-0.086	-0.485	0.02	0.112	2.213	0.036	-0.179	-0.832	-0.99	-0.878	-0.921	-0.553
"PSMD8"	0.553	0.569	0.413	0.304	0.236	-1.644	0.28	0.901	0.329	0.759	1.657	0.457	0.369
"PSME2"	0.544	1.289	1.082	0.983	0.359	0.397	0.916	1.071	0.634	0.407	2.205	1.383	0.178
"PSME2P2"	-0.643	0.278	-0.088	0.662	0.028	-1.046	-0.377	-0.309	-0.517	-0.693	0.093	-0.127	-0.969
"PSMG3"	1.111	1.634	0.925	0.959	0.153	-1.687	-0.026	1.332	1.221	1.432	2.247	0.145	0.162
"PSMG3-AS1"	-0.566	-0.26	-0.066	-0.139	-0.774	0.997	0.329	0.317	0.094	-0.595	0.057	0.988	-0.627
"PSTPIP2"	-0.94	-0.005	-0.052	0.571	0.727	0.963	0.392	0.08	-1.116	-0.78	0.908	-1.904	-0.57
"PTAFR"	-0.789	0.217	0.665	0.505	1.234	3.679	2.062	0.322	-0.206	-0.484	2.817	0.445	0.86
"PTAR1"	-0.596	-0.869	-0.609	0.239	-0.13	1.135	0.978	-0.054	-0.739	-0.973	0.438	-0.019	-0.811
"PTBP2"	-0.952	-1.533	-1.102	0.347	0.194	1.325	0.511	-0.183	-1.039	-1.008	0.528	-0.906	-1.146
"PTCD3"	-1.469	0.083	-0.327	0.393	-0.299	0.047	0.641	-0.253	-0.654	-0.367	0.257	-0.182	-1.526
"PTCH1"	-0.964	-1.557	-1.176	-0.007	-0.626	-1.746	1.359	-0.056	-0.994	-0.868	0.347	-0.839	-1.004
"PTCH2"	-1.171	-0.948	-1.118	-0.067	0.228	0.781	-0.938	-0.217	-0.458	-0.415	0.821	-1.139	-1.337
"PTDSS2"	-0.626	-0.066	-0.22	0.322	-0.134	-0.497	0.184	0.326	-0.666	-0.927	0.331	0.507	-0.752
"PTENP1"	1.169	0.491	0.725	0.432	0.293	1.181	0.914	1.1	0.975	1.183	1.603	1.457	0.782
"PTGDS"	-6.285	-2.694	-2.162	-1.822	-3.605	-1.271	-0.433	-0.906	-2.461	-3.372	1.743	-0.988	-1.832
"PTGER1"	-0.894	-0.094	-0.119	0.027	-2.656	0.012	-0.191	-0.052	-0.71	-1.028	0.368	0.026	-0.123
"PTGER2"	-0.508	-0.432	-0.632	0.065	-0.361	4.934	-0.027	-0.203	-0.989	-1.744	2.231	-0.467	-0.882
"PTGER3"	-1.043	-1.5	-1.375	-0.728	-2.51	-3.154	-0.253	0.101	-0.504	-0.441	0.21	-2.981	-0.188
"PTGER4"	-1.714	-1.092	-1.193	-0.305	-0.835	4.67	0.352	0.051	-1.563	-1.399	-0.657	-0.703	-0.588
"PTGES3"	1.014	0.385	0.742	0.684	0.15	-1.477	0.954	1.062	0.474	0.919	1.703	0.616	0.322
"PTGES3P1"	-0.946	-0.356	-0.331	0.511	0.498	-1.467	0.476	0.237	-0.61	-0.616	1.338	-0.576	-0.381
"PTGES3P3"	0.783	0.093	0.37	0.302	0.03	-0.534	0.618	0.295	0.541	0.856	0.485	0.473	0.475
"PTGFR"	-1.103	-2.338	-1.928	-0.345	-1.425	0.07	0.054	0.011	-0.955	-0.944	0.229	-2.076	-0.604
"PTGIR"	-1.774	-0.359	-0.206	0.708	0.165	1.533	-0.046	-0.905	-2.924	-3.325	1.011	-1.091	-2.669
"PTGIS"	-1.529	-4.176	-1.965	-0.619	-0.669	-0.007	0.127	-1.039	-1.657	-1.938	2.818	-0.5	-1.981
"PTGR1"	-1.232	-0.764	-0.079	-0.708	-1.134	2.335	-0.224	-0.239	0.453	0.779	2.233	0.045	0.344
"PTGR2"	-0.701	-0.354	0.191	-0.19	-0.485	-1.2	1.008	0.395	0.291	-0.092	0.883	-0.348	-0.176
"PTGS1"	-0.768	-4.18	0.631	0.085	1.172	-0.099	1.778	-0.073	-0.671	-0.791	2.217	-4.012	-0.18
"PTGS2"	-0.873	-1.571	-1.024	0.848	-0.947	3.265	-0.398	-0.624	-0.479	-0.896	2.401	-0.324	0.318
"PTH1R"	-3.41	-2.257	-2.715	0.151	-3.64	0.126	-0.623	-3.405	-3.21	-3.706	-0.025	-2.604	-2.117
"PTHLH"	0.959	-0.76	-0.549	4.129	2.54	-2.372	-0.333	0.27	0.688	5.518	2.334	0.027	-0.145
"PTK2"	-0.643	0.349	0.249	1.274	0.173	-3.203	0.349	1.161	0.09	0.173	1.518	0.589	-0.169
"PTK2B"	-1.345	-0.484	-0.351	0.704	-0.482	1.946	-2.482	-0.641	-1.356	-1.293	1.475	-2.417	0.607
"PTMAP5"	0.891	0.358	0.681	0.622	0.14	1.79	1.474	1.103	1.195	1.193	1.873	0.898	1.258
"PTMS"	1.056	-0.001	0.547	0.891	0.154	-3.782	0.939	0.005	-0.942	-0.227	2.454	0.476	0.534
"PTOV1-AS2"	-1.026	0.288	-1.6	0.859	0.98	1.653	-0.348	-1.22	-2.009	-2.099	-0.509	-1.629	-2.925
"PTP4A1"	0.981	-0.323	0.825	0.42	-0.429	-0.362	1.57	-0.008	1.454	0.793	1.484	0.707	0.476
"PTP4A3"	0.516	-0.588	-0.238	0.45	1.545	-3.194	-0.122	1.541	-0.192	-0.795	0.187	0.368	0.127
"PTPDC1"	-0.554	-0.067	-0.181	0.77	0.235	-0.373	-0.393	0.146	-0.814	-0.812	0.416	-0.022	-0.941
"PTPN13"	-0.77	-0.536	-0.272	-0.215	-1.514	0.54	0.91	-0.298	-0.649	-0.032	0.95	-2.202	-0.418
"PTPN14"	-1.326	-0.895	-0.903	0.608	-0.296	0.913	-0.031	0.367	-0.525	0.285	1.18	-0.267	-0.275
"PTPN18"	-1.287	0.057	-0.019	0.248	0.555	1.45	0.187	-0.384	-0.378	-0.921	0.779	0.55	-0.786
"PTPN20"	-0.613	-0.199	-0.048	-0.505	-0.614	0.363	-1.505	-0.158	-0.379	-0.339	-0.273	-1.651	-0.929
"PTPN21"	-1.092	-0.941	-1.197	0.021	-0.755	-0.597	0.805	-0.288	-1.986	-2.228	0.5	-2.691	-0.854
"PTPN22"	-0.568	-0.258	0.26	0.447	0.995	2.992	-0.038	-0.109	-0.619	-1.325	1.167	0.277	-0.202
"PTPN23"	-1.046	0.091	-0.092	-0.002	-0.52	0.197	0.656	0.354	-0.487	-0.74	0.61	0.037	-0.878
"PTPN4"	-0.698	0.308	-0.08	0.484	-0.725	-0.079	-0.184	0.221	0.024	0.176	1.224	-0.026	-0.544
"PTPN7"	-2.01	-0.106	0.799	0.854	0.897	-0.032	0.597	0.249	0.011	-0.469	1.914	1.46	-0.106
"PTPRB"	-1.537	-0.809	-1.829	0.228	-0.057	-2.205	0.563	-0.147	-2.785	-3.436	1.417	-0.796	-1.16
"PTPRC"	-1.447	-1.024	0.466	0.446	2.229	2.261	1.509	-0.588	-1.339	-2.113	2.463	0.938	-0.376
"PTPRE"	-1.238	-0.036	-0.592	0.681	1.71	5.54	1.235	0.011	-0.729	-1.852	2.399	-0.916	1.032
"PTPRG"	-0.992	-1.074	-0.828	0.648	0.046	0.246	1.335	0.696	-1.263	-1.498	1.579	1.207	-0.185
"PTPRH"	0.889	0.095	-0.418	1.06	0.026	-3.953	0.148	0.601	1.927	1.355	2.928	1.816	-0.091
"PTPRJ"	-0.795	-0.238	0.913	0.408	-0.433	0.74	0.857	0.379	-0.09	-0.746	1.817	2.916	-0.312
"PTPRM"	-0.568	-0.558	-1.752	0.352	1.072	1.354	-0.365	0.266	-2.095	-3.051	1.295	1.162	0.224
"PTPRO"	-0.597	-0.146	0.654	0.294	-1.99	1.827	0.019	0.024	-0.654	-0.916	1.106	0.363	0.341
"PTPRS"	-0.697	-1.293	-1.156	0.171	0.088	-3.024	0.907	-1.281	-1.648	-0.447	-0.353	0.085	-1.22
"PTPRVP"	-0.512	-0.021	-0.193	0.014	0.014	-2.306	-0.024	-0.068	-0.117	-0.13	0.028	-0.184	-0.394
"PTRF"	-0.553	-1.85	-1.805	0.951	1.001	-4.938	0.735	0.969	-2.087	-1.687	3.206	-0.914	-0.003
"PTRH1"	0.58	0.621	0.35	0.948	-0.466	-1.557	0.027	0.831	-0.008	-0.176	0.872	-0.324	-0.24
"PTRHD1"	-0.652	0.363	0.536	0.019	-0.203	-0.544	0.098	0.612	0.586	0.411	1.365	0.228	0.153
"PTTG1"	2.984	2.958	3.255	1.031	1.802	-2.814	0.541	3.529	2.071	3.191	4.057	2.38	0.367
"PTX3"	-1.593	-1.54	-2.76	-0.474	-0.553	1.574	0.365	-0.019	-3.402	-3.502	-0.688	-0.91	-1.425
"PUM1"	-0.686	-0.28	-0.109	0.349	-0.198	0.952	0.965	0.224	0.09	-0.073	1.496	-0.357	-0.247
"PVALB"	1.473	-0.303	0.592	0.04	-5.372	-0.164	-4.399	-1	-0.28	-0.268	0.566	0.112	-0.349
"PVRL2"	0.738	1.252	1.31	0.117	-0.105	-1.209	1.003	0.96	0.344	-0.299	2.697	-0.148	0.12
"PVT1"	-0.537	0.545	0.479	0.717	3.929	-2.216	0.103	1.784	1.091	1.424	3.059	0.929	-1.384
"PWAR5"	-0.75	-0.805	-0.718	-0.193	-0.568	2.011	0.346	-0.082	-0.613	-0.708	-0.2	-0.556	-1.134
"PWAR6"	-1.402	-1.807	-0.897	-0.202	-0.794	1.851	-1.108	-0.196	-1.222	-1.626	-0.535	-0.299	-1.35
"PWP2"	-0.656	-0.254	-0.095	0.686	0.252	-1.825	0.333	-0.304	-0.664	-0.637	0.401	-0.257	-0.836
"PXDC1"	-0.756	-0.787	-1.494	0.481	1.19	0.086	1.89	-0.514	-1.359	-1.578	2.423	-0.158	-0.81
"PXDN"	-0.532	-1.545	0.11	2.355	1.856	0.661	1.541	-0.186	-0.684	-0.704	3.073	-0.201	-0.839
"PXK"	-0.965	-1.206	-0.382	0.148	-1.311	2.433	-0.123	0.233	-1.16	-1.325	0.797	-0.187	-0.753
"PXMP2"	-0.512	0.304	0.32	0.337	-0.591	-1.505	0.712	-0.332	0.078	0.192	-0.178	-0.385	-0.509
"PXMP4"	0.545	0.471	1.161	0.347	-0.473	-0.614	0.938	1.392	0.563	0.172	1.202	0.407	-0.074
"PXN-AS1"	0.62	0.407	-0.011	0.311	0.181	-1.121	1.176	0.77	-0.378	-0.385	0.871	-0.621	-0.675
"PYCR1"	0.786	2.685	2.933	1.103	0.805	-3.963	2.42	1.27	3.228	2.589	-0.073	3.43	-0.089
"PYGB"	-0.525	-1.088	-0.208	0.674	-0.568	1.057	0.906	1.318	0.64	0.133	2.863	0.725	0.314
"PYGL"	-2.027	0.613	-0.601	1.411	2.055	1.905	1.32	0.132	-0.359	-0.073	2.223	1.448	-0.695
"PYGM"	-1.227	-2.868	-1.797	-2.977	0.413	0.553	-1.109	-0.279	-1.585	-1.76	-0.044	-1.281	-1.652
"PYROXD2"	-2.981	-0.679	-1.289	0.028	0.031	2.496	-1.098	-0.882	-0.477	-1.538	0.784	0.068	-1.063
"PYY2"	-3.32	0.233	-0.07	2.1	-0.05	0.206	-0.374	-0.208	-0.354	-0.153	-0.856	0.28	-0.585
"QKI"	-0.653	-0.806	-0.787	0.49	0.224	-0.437	2.141	0.229	-0.889	-0.623	1.479	0.808	-0.711
"QPCTL"	0.747	0.669	0.536	0.755	0.625	-1.556	-0.266	0.851	0.189	0.201	0.973	1.487	-0.159
"QRICH1"	-0.806	0	-0.371	-0.016	-0.25	1.075	0.57	0.083	-0.88	-1.042	0.731	-0.892	-0.866
"QSER1"	-0.668	0.1	0.295	0.457	0.06	0.317	1.662	0.275	0.075	0.729	0.588	-0.151	-0.272
"R3HDM1"	-0.502	0.064	0.561	0.841	0.101	0.444	-1.81	0.49	0.453	0.937	1.083	0.643	-0.415
"RAB11FIP1"	-0.7	-0.345	1.534	-1.245	-0.924	0.638	-0.169	0.456	-0.236	-0.963	1.04	-1.041	0.87
"RAB11FIP1P1"	-1.991	-0.142	-1.012	0.28	0.365	4.013	0.241	-0.563	-0.997	-1.248	-0.327	-1.798	-1.812
"RAB11FIP3"	-0.975	-0.821	0.254	0.525	-0.228	1.483	-0.228	-0.41	-1.024	-1.244	-0.34	-0.14	-0.669
"RAB15"	-0.915	1.007	0.474	0.609	-1.045	2.633	-2.546	-0.091	0.501	-0.377	1.142	-0.091	0.003
"RAB23"	0.618	-1.931	0.604	0.948	0.116	-2.107	1.331	0.351	-0.19	0.248	2.275	0.721	-0.21
"RAB27A"	-1.354	-0.636	0.149	-0.086	0.279	-0.385	0.355	-0.212	-0.185	-1.069	1.269	2.535	1.739
"RAB29"	-0.547	-0.503	0.069	1.102	-0.72	0.339	1.654	0.768	-0.256	-0.126	1.703	1.679	-0.366
"RAB30"	-1.037	-1.197	0.285	0.124	-0.107	0.253	1.11	-0.016	-0.151	0.436	0.979	-0.538	0.082
"RAB30-AS1"	-1.051	0.159	-0.195	0.367	-0.086	-1.127	0.383	0.698	0.056	0.246	0.803	0.138	-0.637
"RAB31"	-1.949	-0.907	1.13	1.397	0.955	-1.363	1.772	0.4	-0.39	-0.552	3.912	-0.115	-0.341
"RAB34"	-3.412	-0.343	0.167	1.358	0.176	5.02	-0.78	0.827	0.522	0.211	3.598	0.815	0.761
"RAB36"	-0.516	0.079	0.393	0.413	0.086	0.327	-1.557	-0.077	0.039	0.079	1.268	0.811	-0.37
"RAB37"	-0.963	-1.429	0.289	-0.084	1.532	5.745	-1.865	-0.305	-0.926	-1.696	1.234	-0.142	-0.236
"RAB38"	0.577	0.65	0.885	0.427	0.881	0.713	0.193	-0.073	1.092	2.16	1.551	0.974	1.163
"RAB3A"	1.493	-0.182	0.931	-0.107	-0.673	-0.155	-3.405	0.458	-0.017	-0.082	1.058	0.779	0.05
"RAB3C"	1.015	-0.882	-1.464	-0.18	0.456	0.364	-1.123	0.006	-0.147	-0.298	0.465	0.052	-0.102
"RAB40B"	-0.59	-0.675	-0.411	-0.169	-0.746	-0.48	-1.145	0.411	0.353	0.784	1.175	-1.059	-0.26
"RAB43"	-0.69	0.004	-0.058	0.903	-0.024	0.126	0.326	0.285	-0.04	-0.871	1.538	1.473	0.113
"RAB43P1"	-0.786	0.024	0.247	0.909	-0.29	0.198	0.835	0.586	0.214	-0.049	1.61	1.305	0.477
"RAB5B"	0.629	-0.395	0.373	-0.217	-0.239	0.671	0.78	0.569	-0.139	-0.283	1.616	-0.338	0.099
"RAB5C"	-0.837	-0.01	0.273	0.652	-0.484	0.272	1.142	0.866	-0.096	-0.144	2.172	0.961	0.2
"RAB8B"	-0.603	-0.707	-0.472	0.683	0.613	0.231	1.296	0.252	-1.347	-1.581	2.23	0.879	-0.414
"RABEP1"	-0.609	-0.846	0.45	0.395	-0.277	0.812	0.363	-0.264	-0.567	-0.477	0.918	0.369	-0.458
"RABEP2"	0.755	0.564	0.892	0.205	-0.059	1.199	0.379	0.521	0.216	0.167	1.024	-0.872	-0.084
"RABGAP1"	-0.524	-1.225	-0.18	0.206	-0.041	1.547	0.876	0.245	-0.496	-0.388	1.017	-1.053	-0.69
"RABL2A"	-1.242	-0.137	-0.451	0.156	0.412	2.728	-0.646	-0.318	-0.818	-0.794	0.521	-1.196	-1.641
"RABL2B"	-1.3	0.179	-0.228	0.463	0.089	2.468	-0.63	-0.424	-0.761	-0.719	0.283	-0.639	-1.322
"RABL3"	-0.698	-0.361	0.532	0.342	-0.44	-0.001	0.521	0.425	0.488	0.852	1.295	0.046	-0.179
"RACGAP1"	1.351	1.592	2.179	1.013	0.712	-1.343	1.186	1.718	0.992	2.111	2.459	1.223	0.34
"RAD23A"	1.021	0.319	0.1	0.589	0.65	-0.764	0.545	0.827	-0.188	0.308	1.579	0.609	-0.005
"RAD51"	0.727	2.38	2.231	1.379	0.811	-1.997	0.896	1.155	1.562	2.971	2.035	1.823	0.515
"RAD51-AS1"	-1.472	-0.284	-1.133	0.278	-0.131	0.386	-0.159	-0.627	-1.336	-1.506	-0.412	-1.895	-1.971
"RAD51AP1"	0.873	2.048	1.844	1.395	0.814	-1.733	1.064	1.076	1.341	2.744	1.722	1.511	0.413
"RAD52"	-0.944	-0.13	-0.524	0.468	0.155	1.906	0.041	-0.721	-0.778	-0.494	-0.068	-0.599	-1.421
"RAD54L"	0.699	2.6	1.62	1.508	0.562	-1.909	-0.216	0.856	1.187	2.368	1.517	1.782	-0.604
"RAD54L2"	-0.742	-0.545	-0.337	0.229	-0.403	2.132	0.556	-0.185	-0.642	-0.642	0.27	-0.074	-0.508
"RAET1E-AS1"	-0.637	0.123	-0.049	-0.07	0.094	0.171	0.121	0.376	0.048	-0.192	0.274	-0.059	0.625
"RAI1"	-0.512	-0.058	0.177	0.458	0.283	1.637	-0.371	-0.092	-0.069	-0.214	1.238	0.636	-0.349
"RAI2"	-1.213	-3.439	-1.658	-0.593	-0.263	-0.028	-0.194	-0.216	-2.525	-2.91	1.175	-3.222	-0.157
"RALGAPA1"	-0.987	-0.96	-0.23	-0.131	-0.25	1.946	0.223	-0.21	-0.826	-1.227	0.351	-1.398	-1.017
"RALGAPA2"	-1.354	-0.067	-0.793	-0.396	-0.494	3.303	0.451	-0.304	-0.699	-1.538	0.559	-1.712	-0.833
"RALGPS2"	-0.555	0.193	1.344	-0.48	-0.615	1.905	1.061	0.378	1.087	1.08	1.482	-0.294	-0.192
"RALY"	0.833	0.766	0.468	0.726	0.258	-0.519	1.057	1.237	0.21	0.24	2.02	0.78	0.216
"RAMP1"	-1.628	-2.816	1.46	0.709	-1.482	-0.092	1.456	1.689	0.846	-0.681	-0.005	-1.243	0.559
"RAMP2-AS1"	-0.62	-0.556	-1.681	-0.111	-0.19	0.028	1.227	0.049	-1.554	-1.254	-0.033	-0.681	-1.524
"RAMP3"	-1.516	-1.031	-1.35	0.213	0.47	0.073	0.175	0.472	-3.418	-3.898	1.37	-0.763	-0.836
"RAN"	0.769	0.972	1.115	0.771	0.319	-1.532	1.05	1.337	0.783	1.556	2.315	1.523	0.374
"RANBP10"	-1.432	-0.322	-0.441	0.075	0.166	0.753	0.116	-0.929	-1.047	-0.676	0.061	-0.039	-1.501
"RANBP2"	-0.828	-0.684	0.279	0.083	-0.595	0.72	0.522	-0.054	-0.178	-0.23	0.708	0.135	-0.303
"RANBP9"	-0.562	-0.354	0.389	-0.379	-0.158	-1.022	0.02	0.417	0.139	-0.015	1.137	-0.259	-0.004
"RANP4"	-0.644	-0.387	-0.662	0.027	-0.102	-0.638	0.242	-0.118	-0.839	-1	-0.041	-0.659	-0.698
"RAP1GAP"	-0.536	0.92	0.733	0.217	-2.221	-3.911	-1.899	0.089	0.61	-0.829	-0.436	1.671	-2.679
"RAPGEF2"	-0.602	-1.106	-0.804	-0.073	0.171	-0.174	0.204	-0.098	-0.886	-1.792	0.707	0.006	-0.828
"RAPGEF4"	-3.328	-0.731	-0.604	0.256	0.847	0.405	-2.571	-0.064	-2.371	-2.204	-0.08	-2.103	-0.762
"RAPGEF5"	-0.519	-0.653	-0.646	0.182	0.881	-0.35	-1.059	-0.172	-1.598	-1.916	0.513	-1.317	-0.222
"RAPGEFL1"	-1.227	0.513	-0.297	-0.653	0.806	0.759	-2.189	-0.502	-0.92	1.406	2.219	-6.245	-0.951
"RAPH1"	-0.987	-0.322	-0.056	-0.171	-0.233	0.318	0.608	-0.377	-0.259	-1.312	1.811	-0.379	-0.641
"RAPSN"	-0.753	0.129	-0.103	-0.183	-0.091	0.594	-0.052	-0.062	-0.335	-0.335	0.065	-0.384	-0.249
"RARA"	-0.914	-0.717	0.825	0.545	0.935	1.213	1.294	0.665	-0.84	-1.65	2.569	0.745	-0.064
"RARA-AS1"	-0.654	-0.56	-0.467	-0.095	-0.026	-0.009	0.522	0.063	-0.819	-1.633	1.299	0.56	0.188
"RARB"	-0.766	-1.942	-0.714	-0.873	-0.438	0.261	-0.737	-0.278	-0.779	0.047	1.796	0.779	-1.284
"RARG"	-0.88	0.191	0.113	-0.281	0.604	0.204	0.071	0.436	-0.234	1.032	2.577	-2.041	-0.091
"RARRES1"	-3.45	0.529	-1.452	-0.298	-0.612	0.462	-0.077	0.529	-1.076	-1.032	3.235	0.788	-2.022
"RARRES2"	-1.724	-1.906	-1.882	0.962	1.279	-0.034	-2.267	0.547	-1.589	-1.823	-0.076	-0.63	-1.075
"RARRES3"	-1.375	0.222	1.47	0.31	0.872	2.019	2.027	0.276	-0.044	-1.576	4.515	2.082	0.561
"RARS2"	-1.098	-0.199	-0.026	0.339	0.312	-1.043	0.761	0.374	-0.327	0.082	0.82	-0.267	-0.277
"RASA2"	-0.756	-0.198	-0.427	0.46	0.245	1.03	-0.375	-0.095	-0.697	-0.677	1.175	-0.553	-0.593
"RASA3"	-0.839	-1.792	-1.106	0.901	1.214	-0.171	0.804	-0.167	-1.36	-1.558	1.795	0.921	-0.411
"RASA4"	-1.134	-1.602	-1.207	0.42	0.476	1.612	0.984	0.865	-0.815	-1.429	1.022	-1.269	-0.38
"RASA4B"	-1.075	-1.278	-0.93	0.485	-0.231	2.061	1.226	0.63	-0.592	-1.521	0.891	-1.588	-0.18
"RASA4DP"	-0.824	-0.839	-0.787	0.084	0.135	0.785	0.315	0.026	-0.649	-0.771	0.037	-0.693	-0.413
"RASAL2"	-0.59	-0.527	-0.481	-0.286	0.185	1.016	-0.009	0.328	-0.961	-0.701	1.387	-0.213	-0.796
"RASAL3"	-1.033	-0.617	0.174	0.483	1.813	5.253	1.03	-0.199	-1.687	-2.185	1.521	0.42	-1.075
"RASD1"	-1.012	-2.185	-3.048	-0.639	-2.462	0.806	0.12	-1.56	0.346	-1.615	0.449	-3.424	-0.744
"RASGEF1A"	-0.736	0.537	-0.171	1.47	0.472	-2.699	-2.238	0.013	0.735	0.508	0.52	-0.128	0.374
"RASGEF1B"	-0.762	-0.588	-0.296	-0.154	0.016	2.502	0.834	-1.145	-1.174	-1.543	2.327	-2.426	0.751
"RASGRP2"	-2.046	-3.156	-2.429	0.291	0.453	3.755	-0.952	-0.776	-3.343	-3.723	0.887	-1.433	-2.139
"RASGRP4"	-1.039	-0.978	-0.491	0.108	0.846	1.62	0.812	-0.296	-2.333	-2.727	0.636	-0.36	-0.26
"RASL10A"	-1.014	0.411	-0.838	0.095	0.3	0.516	0.191	-0.265	-0.924	-0.952	0.087	-0.747	-1.269
"RASL11A"	-0.901	-2.497	-1.625	-0.781	-0.952	0.576	0.659	-0.396	-1.065	-1.556	1.206	-1.953	-1.768
"RASSF2"	-1.644	-0.667	0.155	0.159	1.97	5.368	2.428	-0.066	-1.7	-2.464	2.191	1.349	-0.759
"RASSF3"	-0.548	-1.669	0.188	0.365	0.971	0.579	0.471	1.179	-0.509	-1.314	1.694	2.95	0.135
"RASSF4"	-1.625	-0.751	-1.13	0.617	1.354	3.901	1.879	0.863	-0.457	-1.465	-0.314	0.283	-1.959
"RASSF5"	-1.007	-0.715	0.111	-0.683	1.642	0.208	-0.805	-0.584	-0.697	-0.783	1.671	-2.332	0.657
"RASSF7"	0.522	0.875	0.98	0.411	-0.059	-1.202	-1.254	0.081	-0.082	-1.244	1.446	-2.394	-0.7
"RAVER2"	-0.814	-0.846	-0.17	-0.206	0.169	1.981	0.785	0.473	-0.677	-0.17	0.918	0.002	-0.942
"RBBP4"	-0.564	0.443	1.141	0.362	0.033	-0.316	1.565	1.037	0.833	0.745	1.244	1.165	0.462
"RBFA"	-0.691	0.089	-0.053	0.118	0.299	0.24	0.887	0.359	0.102	0.059	0.669	-0.068	-0.326
"RBFOX2"	-0.565	-0.98	-0.422	0.609	0.223	-2.885	-0.679	0.046	-0.519	0.22	1.629	0.245	-0.77
"RBKS"	-1.264	-0.707	0.57	-0.362	-0.346	1.756	0.061	0.091	0.27	-0.324	0.78	0.024	0.457
"RBL2"	-0.845	-0.788	-0.719	0.225	-0.159	0.948	0.948	-0.527	-0.802	-0.979	-0.077	-0.878	-0.803
"RBM11"	-0.614	0.052	0.416	-0.215	-1.642	-1.971	-1.364	-0.082	-0.448	-0.22	0.26	-0.115	-0.72
"RBM12"	-0.644	-0.314	0.573	0.27	-0.245	-0.345	1.546	0.468	0.288	0.485	1.241	0.807	-0.182
"RBM14-RBM4"	-0.904	-0.227	-0.098	0.463	0.021	1.859	0.28	-0.308	-0.542	-0.329	-0.005	-0.567	-1.029
"RBM17"	-1.197	0.739	-0.5	0.852	0.214	-0.292	0.763	0.183	-1.068	-0.646	0.471	-0.694	-1.138
"RBM25"	-1.093	0.029	-0.56	0.506	0.039	1.275	0.292	-0.783	-1.015	-1	-0.017	-0.961	-1.336
"RBM26"	-1.094	-0.078	-0.327	0.402	0.161	1.796	0.252	-0.353	-0.663	-0.621	0.224	-0.435	-0.841
"RBM28"	-0.508	0.496	-0.441	0.771	0.044	-1.606	0.977	-0.124	-0.153	0.24	0.397	0.251	-1.001
"RBM33"	-0.812	-0.04	-0.725	0.266	0.45	0.772	-0.264	-0.405	-1.062	-0.977	0.288	-1.026	-1.46
"RBM38"	0.626	-0.537	0.166	0.858	-0.161	-1.061	1.176	0.344	-0.054	0.289	1.469	0.883	0.016
"RBM39"	-0.611	-0.036	-0.466	0.559	0.236	0.581	0.432	-0.564	-1.174	-1.076	0.352	-0.923	-1.34
"RBM4"	-0.508	0.305	0.686	0.506	-0.129	-0.103	1.296	0.581	0.286	0.527	1.071	0.417	-0.084
